event_id,timestamp,user_id,employee_name,department,role,location,resource_type,action_type,records_accessed,historical_avg_access,risk_score,anomaly_score,threat_type,severity,label
EVT00059,2026-07-26 01:45:00,U2647,Tara Sha,IT Security,Manager,Mumbai,API,Delete,741,623,12,0.091,None,Low,Normal
EVT00060,2026-02-09 16:54:00,U5786,Aachal Rajagopalan,Legal,Manager,Pune,Cloud Storage,Read,135,149,1,0.172,None,Low,Normal
EVT00061,2026-02-07 09:52:00,U5136,Faqid More,IT Security,System Admin,Bangalore,Database,Download,440,471,32,0.022,None,Low,Normal
EVT00062,2026-08-10 05:54:00,U2395,Dakshesh Buch,HR,Analyst,Chennai,Cloud Storage,Write,63,74,34,0.114,None,Low,Normal
EVT00063,2026-11-09 06:20:00,U6003,Anita Dora,Marketing,Executive,Bangalore,Database,Write,370,324,14,0.079,None,Low,Normal
EVT00064,2026-02-24 15:51:00,U3564,Patrick Sankaran,Finance,System Admin,Delhi,Cloud Storage,Delete,2385,265,71,0.769,Credential Abuse,Critical,Threat
EVT00065,2026-05-25 01:08:00,U7965,Ekalinga Bhalla,Finance,Executive,Hyderabad,API,Delete,3108,259,96,0.743,Data Exfiltration,High,Threat
EVT00066,2026-07-30 03:50:00,U8195,Nikita Kamdar,Finance,System Admin,Pune,File,Download,691,629,18,0.15,None,Low,Normal
EVT00067,2026-11-11 14:14:00,U6280,Theodore Ray,Marketing,Developer,Bangalore,Database,Write,105,102,2,0.3,None,Low,Normal
EVT00068,2026-05-08 13:40:00,U8708,Dominic Sankaran,Marketing,System Admin,Mumbai,API,Download,303,295,32,0.291,None,Low,Normal
EVT00069,2026-03-18 04:00:00,U3634,Jeet Kurian,Engineering,System Admin,Pune,Cloud Storage,Delete,408,438,26,0.244,None,Low,Normal
EVT00070,2026-07-03 18:59:00,U6296,Dhriti Rajan,Finance,System Admin,Chennai,Database,Download,405,485,27,0.016,None,Low,Normal
EVT00071,2026-11-18 21:13:00,U1845,Jyoti Kale,HR,Developer,Chennai,API,Delete,724,657,29,0.264,None,Low,Normal
EVT00072,2026-06-24 06:01:00,U3594,Udarsh Tripathi,Engineering,Executive,Bangalore,Cloud Storage,Read,58,49,15,0.298,None,Low,Normal
EVT00073,2026-04-23 02:50:00,U9165,Jyoti Suri,Legal,Developer,Chennai,File,Download,579,492,31,0.294,None,Low,Normal
EVT00074,2026-05-19 19:09:00,U9327,Theodore Bali,Legal,Manager,Bangalore,File,Download,500,584,22,0.28,None,Low,Normal
EVT00075,2026-08-06 09:38:00,U9022,Jairaj Deshpande,IT Security,Manager,Delhi,Cloud Storage,Delete,688,860,22,0.166,None,Low,Normal
EVT00076,2026-05-18 08:56:00,U4912,Rajata Rattan,Marketing,System Admin,Hyderabad,Cloud Storage,Read,570,486,21,0.223,None,Low,Normal
EVT00077,2026-04-21 18:13:00,U9115,Krisha Karan,Finance,Manager,Chennai,File,Read,809,850,29,0.03,None,Low,Normal
EVT00078,2026-10-26 12:53:00,U3529,Reva Barman,Finance,System Admin,Mumbai,File,Download,38,35,6,0.256,None,Low,Normal
EVT00079,2026-08-19 14:03:00,U8994,Bhavya Sane,IT Security,Executive,Bangalore,Database,Write,911,899,19,0.299,None,Low,Normal
EVT00080,2026-03-15 04:29:00,U8269,Lipika Atwal,HR,Developer,Bangalore,Database,Delete,552,464,4,0.088,None,Low,Normal
EVT00081,2026-10-28 01:07:00,U3950,Falak Natt,HR,Manager,Bangalore,Cloud Storage,Write,151,169,32,0.274,None,Low,Normal
EVT00082,2026-12-01 15:34:00,U5183,Ekalinga Rajagopal,Legal,Analyst,Delhi,File,Write,5904,492,72,0.833,Credential Abuse,Critical,Threat
EVT00083,2026-11-29 15:47:00,U5949,Jagat Deep,HR,System Admin,Delhi,Database,Write,488,454,25,0.172,None,Low,Normal
EVT00084,2026-10-16 05:12:00,U5497,Ekalinga Gandhi,Finance,Executive,Pune,Database,Download,675,736,19,0.233,None,Low,Normal
EVT00085,2026-05-19 10:47:00,U5106,Chakrika Salvi,Legal,Manager,Pune,Database,Read,791,841,20,0.237,None,Low,Normal
EVT00086,2026-03-07 15:11:00,U5835,Ekansh Basu,Engineering,System Admin,Hyderabad,API,Write,3144,393,95,0.862,Credential Abuse,Critical,Threat
EVT00087,2026-12-17 20:54:00,U5835,Anthony Ram,Legal,Developer,Bangalore,Cloud Storage,Read,329,283,10,0.226,None,Low,Normal
EVT00088,2026-10-17 09:16:00,U6992,Bakhshi Pandey,Finance,System Admin,Bangalore,File,Read,775,712,30,0.111,None,Low,Normal
EVT00089,2026-09-28 11:58:00,U2775,Dalbir Sampath,Legal,Manager,Delhi,Database,Delete,297,288,15,0.194,None,Low,Normal
EVT00090,2026-08-09 01:09:00,U7689,Irya Mahal,Finance,Manager,Bangalore,Database,Delete,576,495,32,0.035,None,Low,Normal
EVT00091,2026-11-27 07:59:00,U7078,Veer Tak,Legal,Executive,Delhi,API,Download,486,570,7,0.25,None,Low,Normal
EVT00092,2026-01-24 19:45:00,U7070,Samarth Prashad,HR,System Admin,Delhi,API,Delete,1158,981,7,0.294,None,Low,Normal
EVT00093,2026-09-19 04:16:00,U1992,Rachit Sarna,Operations,Developer,Hyderabad,Database,Download,1123,943,6,0.199,None,Low,Normal
EVT00094,2026-02-06 19:55:00,U6464,Balhaar Bhatti,HR,Manager,Chennai,API,Read,749,631,14,0.176,None,Low,Normal
EVT00095,2026-04-18 10:41:00,U1046,Brinda Nayar,Engineering,Manager,Hyderabad,File,Write,240,258,8,0.198,None,Low,Normal
EVT00096,2026-06-23 06:09:00,U6304,Ojasvi Sachar,Finance,Manager,Mumbai,Database,Write,525,35,93,0.826,Data Exfiltration,High,Threat
EVT00097,2026-03-21 09:51:00,U8405,Quincy Shan,Marketing,Manager,Chennai,Database,Delete,770,816,30,0.193,None,Low,Normal
EVT00098,2026-11-07 09:40:00,U2768,Nathan Samra,Operations,System Admin,Bangalore,Database,Delete,8160,510,89,0.745,Privilege Escalation,Critical,Threat
EVT00099,2026-08-25 19:01:00,U7240,Timothy Vohra,Marketing,Executive,Mumbai,Cloud Storage,Download,630,619,7,0.238,None,Low,Normal
EVT00100,2026-11-10 04:01:00,U8398,Anya Narang,HR,System Admin,Mumbai,Cloud Storage,Download,6900,690,83,0.919,Credential Abuse,Critical,Threat
EVT00101,2026-04-22 03:33:00,U8770,Girik Loke,Finance,Analyst,Bangalore,Database,Download,266,281,7,0.223,None,Low,Normal
EVT00102,2026-08-29 00:58:00,U3002,Hemang Pandit,Operations,Developer,Pune,Cloud Storage,Read,156,153,19,0.18,None,Low,Normal
EVT00103,2026-04-23 16:06:00,U8900,Ati Nadig,HR,Analyst,Mumbai,File,Read,612,611,18,0.172,None,Low,Normal
EVT00104,2026-01-20 02:49:00,U5381,Anamika Tandon,Finance,Manager,Mumbai,File,Delete,906,885,23,0.002,None,Low,Normal
EVT00105,2026-02-20 16:05:00,U3324,Jack Dubey,Legal,Analyst,Bangalore,API,Download,636,599,27,0.136,None,Low,Normal
EVT00106,2026-03-03 20:43:00,U1861,Rajeshri Buch,HR,Manager,Chennai,Database,Read,4746,339,78,0.833,Impossible Travel,Critical,Threat
EVT00107,2026-03-24 21:06:00,U6655,Odika Bahri,Operations,Analyst,Mumbai,Cloud Storage,Delete,403,444,3,0.066,None,Low,Normal
EVT00108,2026-08-08 11:41:00,U4460,Rachit Barad,IT Security,Manager,Mumbai,File,Delete,61,76,8,0.002,None,Low,Normal
EVT00109,2026-06-17 13:28:00,U9196,Idika Nayar,Marketing,Developer,Bangalore,Cloud Storage,Read,169,199,28,0.006,None,Low,Normal
EVT00110,2026-11-09 14:17:00,U7626,Tanveer Oommen,Legal,System Admin,Mumbai,Database,Download,834,902,2,0.29,None,Low,Normal
EVT00111,2026-09-21 11:50:00,U2443,Elijah Zachariah,Operations,Analyst,Hyderabad,Cloud Storage,Download,17820,990,86,0.724,Credential Abuse,Critical,Threat
EVT00112,2026-03-25 00:45:00,U9693,Michael Misra,Marketing,Manager,Mumbai,File,Write,708,817,16,0.031,None,Low,Normal
EVT00113,2026-02-24 20:53:00,U3902,Dalbir Sandhu,IT Security,System Admin,Delhi,Cloud Storage,Delete,205,197,21,0.045,None,Low,Normal
EVT00114,2026-07-20 00:16:00,U1920,Turvi Shanker,Engineering,Executive,Bangalore,File,Download,6136,472,84,0.711,Credential Abuse,Critical,Threat
EVT00115,2026-10-07 23:19:00,U8581,Atharv Grewal,Marketing,Executive,Pune,Database,Download,5424,904,99,0.943,Privilege Escalation,Critical,Threat
EVT00116,2026-02-15 01:19:00,U8381,Diya Rattan,Finance,Developer,Pune,Database,Write,458,533,3,0.074,None,Low,Normal
EVT00117,2026-04-26 14:17:00,U6962,Varenya Dugal,Engineering,Developer,Delhi,Cloud Storage,Delete,473,469,4,0.237,None,Low,Normal
EVT00118,2026-10-09 11:41:00,U5655,Tanish Viswanathan,Engineering,Executive,Hyderabad,File,Read,81,87,10,0.275,None,Low,Normal
EVT00119,2026-10-13 09:57:00,U3112,Hemang Ramaswamy,Marketing,Analyst,Mumbai,Cloud Storage,Delete,745,691,9,0.201,None,Low,Normal
EVT00120,2026-03-10 01:12:00,U7937,Yatin Dixit,Marketing,Developer,Bangalore,File,Delete,930,776,12,0.285,None,Low,Normal
EVT00121,2026-06-14 23:07:00,U3253,Pranav Khanna,HR,Analyst,Mumbai,Database,Read,799,804,22,0.263,None,Low,Normal
EVT00122,2026-04-29 03:28:00,U3962,Maanas Nayak,IT Security,Executive,Hyderabad,Cloud Storage,Read,599,631,27,0.109,None,Low,Normal
EVT00123,2026-11-23 21:35:00,U4833,Upkaar Dasgupta,Marketing,Manager,Mumbai,Cloud Storage,Write,494,474,24,0.203,None,Low,Normal
EVT00124,2026-07-25 04:19:00,U7256,Balhaar Soman,Marketing,Executive,Delhi,API,Write,463,471,9,0.262,None,Low,Normal
EVT00125,2026-03-16 16:53:00,U9452,Liam Pal,IT Security,Analyst,Mumbai,Database,Write,7680,512,78,0.835,Privilege Escalation,Critical,Threat
EVT00126,2026-11-25 12:01:00,U6727,Maanas Din,Finance,System Admin,Bangalore,Cloud Storage,Delete,10472,952,77,0.816,Data Exfiltration,Critical,Threat
EVT00127,2026-09-02 03:37:00,U3392,Tanay Sekhon,HR,Analyst,Mumbai,Cloud Storage,Write,405,346,31,0.135,None,Low,Normal
EVT00128,2026-07-06 08:35:00,U4533,Pratyush Nagy,IT Security,Manager,Chennai,Cloud Storage,Read,404,101,94,0.786,Credential Abuse,High,Threat
EVT00129,2026-02-15 17:38:00,U2816,Vanya Thakkar,IT Security,System Admin,Chennai,Database,Write,8082,449,92,0.743,Impossible Travel,High,Threat
EVT00130,2026-05-17 09:32:00,U2402,Bhavna Doctor,Marketing,Developer,Bangalore,Database,Download,273,266,31,0.013,None,Low,Normal
EVT00131,2026-01-12 19:51:00,U6850,Aradhana Din,IT Security,Analyst,Mumbai,API,Read,362,402,22,0.04,None,Low,Normal
EVT00132,2026-05-08 11:54:00,U8612,Thomas Narayan,Legal,System Admin,Pune,API,Write,411,366,5,0.215,None,Low,Normal
EVT00133,2026-02-01 21:34:00,U4268,George Dubey,Finance,Developer,Mumbai,Cloud Storage,Download,52,57,17,0.011,None,Low,Normal
EVT00134,2026-02-04 19:26:00,U6438,Mitali Reddy,Engineering,Analyst,Mumbai,Cloud Storage,Download,294,312,29,0.268,None,Low,Normal
EVT00135,2026-12-29 06:51:00,U7018,Pallavi Sura,IT Security,Executive,Mumbai,Database,Download,210,211,6,0.129,None,Low,Normal
EVT00136,2026-08-22 21:34:00,U2680,Imaran Sidhu,Finance,Developer,Pune,File,Delete,207,204,29,0.181,None,Low,Normal
EVT00137,2026-11-22 14:09:00,U1693,Qadim Ratta,Legal,Developer,Chennai,Cloud Storage,Delete,709,726,4,0.023,None,Low,Normal
EVT00138,2026-04-27 11:58:00,U1510,Ishanvi Kumar,HR,Executive,Pune,Cloud Storage,Read,394,392,9,0.02,None,Low,Normal
EVT00139,2026-01-24 13:58:00,U3513,Jai Kata,Legal,System Admin,Mumbai,File,Download,373,395,5,0.172,None,Low,Normal
EVT00140,2026-07-22 22:27:00,U5089,Ishwar Gopal,Finance,Analyst,Pune,API,Download,395,427,34,0.116,None,Low,Normal
EVT00141,2026-11-21 23:11:00,U4515,Neel Chanda,Marketing,Developer,Pune,Cloud Storage,Write,319,288,8,0.041,None,Low,Normal
EVT00142,2026-03-05 22:15:00,U6236,Vamakshi Wali,Legal,Developer,Pune,Database,Delete,3528,196,98,0.79,Privilege Escalation,High,Threat
EVT00143,2026-05-27 08:23:00,U3275,Abdul Batra,HR,System Admin,Bangalore,File,Delete,480,540,30,0.241,None,Low,Normal
EVT00144,2026-02-17 21:01:00,U6067,Lavanya Palan,Operations,System Admin,Chennai,Cloud Storage,Download,745,646,5,0.038,None,Low,Normal
EVT00145,2026-09-08 20:49:00,U3102,Henry Puri,IT Security,Executive,Pune,API,Write,93,95,28,0.151,None,Low,Normal
EVT00146,2026-04-22 10:08:00,U5982,Ishanvi Kulkarni,HR,Manager,Mumbai,API,Delete,740,871,34,0.268,None,Low,Normal
EVT00147,2026-07-19 20:22:00,U3050,Frederick Divan,Legal,Developer,Chennai,Database,Write,242,276,10,0.051,None,Low,Normal
EVT00148,2026-01-30 23:55:00,U1464,Alexander Karan,Finance,Analyst,Pune,File,Write,982,943,27,0.185,None,Low,Normal
EVT00149,2026-08-08 23:28:00,U8912,Ishaan Mand,HR,System Admin,Mumbai,Cloud Storage,Read,12090,930,92,0.718,Impossible Travel,Critical,Threat
EVT00150,2026-04-15 14:47:00,U6121,Jagat Arora,IT Security,Developer,Pune,File,Download,213,228,9,0.228,None,Low,Normal
EVT00151,2026-12-06 16:11:00,U3007,Ishita Seshadri,Engineering,System Admin,Hyderabad,API,Read,118,128,4,0.087,None,Low,Normal
EVT00152,2026-04-27 06:57:00,U6364,Sachi Palan,Marketing,Developer,Hyderabad,API,Download,628,650,33,0.14,None,Low,Normal
EVT00153,2026-10-14 08:24:00,U9281,Diya Kara,Operations,Manager,Hyderabad,File,Read,428,529,4,0.084,None,Low,Normal
EVT00154,2026-12-09 16:06:00,U5681,Chatura Kanda,Marketing,Analyst,Bangalore,Cloud Storage,Write,937,883,17,0.218,None,Low,Normal
EVT00155,2026-02-07 06:02:00,U4189,Chatresh Nayak,Engineering,Executive,Mumbai,Database,Download,322,394,33,0.135,None,Low,Normal
EVT00156,2026-03-28 12:22:00,U3108,Rudra Bala,Finance,System Admin,Mumbai,File,Delete,1034,865,10,0.06,None,Low,Normal
EVT00157,2026-01-29 08:04:00,U3245,Aahana Shah,Legal,Developer,Delhi,Cloud Storage,Write,434,532,33,0.042,None,Low,Normal
EVT00158,2026-08-06 21:29:00,U6511,Vansha Menon,Marketing,Executive,Chennai,Cloud Storage,Delete,299,346,31,0.245,None,Low,Normal
EVT00159,2026-10-31 07:34:00,U6040,Qasim Garg,IT Security,Analyst,Chennai,Cloud Storage,Delete,598,709,15,0.216,None,Low,Normal
EVT00160,2026-10-04 20:18:00,U3421,Gopal Chandran,IT Security,Manager,Bangalore,Database,Write,195,194,2,0.132,None,Low,Normal
EVT00161,2026-10-26 19:51:00,U9221,Zarna Radhakrishnan,IT Security,Executive,Delhi,Database,Write,475,442,34,0.062,None,Low,Normal
EVT00162,2026-10-02 09:29:00,U6140,Isha Loke,HR,System Admin,Chennai,File,Delete,691,698,17,0.183,None,Low,Normal
EVT00163,2026-08-06 08:39:00,U4684,Chaitaly Balan,Engineering,Developer,Pune,API,Download,3264,272,80,0.844,Credential Abuse,Critical,Threat
EVT00164,2026-10-15 06:57:00,U6654,Anirudh Goswami,IT Security,Manager,Mumbai,Database,Delete,11392,712,100,0.914,Credential Abuse,Critical,Threat
EVT00165,2026-05-28 03:23:00,U9824,Kamala Yogi,Engineering,Executive,Pune,File,Write,778,785,7,0.185,None,Low,Normal
EVT00166,2026-06-14 07:53:00,U4814,Bhavika Munshi,Finance,Analyst,Delhi,File,Download,219,268,7,0.204,None,Low,Normal
EVT00167,2026-10-24 07:13:00,U8793,Chandran Buch,Operations,Manager,Mumbai,File,Delete,5247,583,90,0.718,Data Exfiltration,High,Threat
EVT00168,2026-01-28 03:50:00,U3868,Upadhriti Borah,Operations,Manager,Bangalore,Cloud Storage,Download,866,760,12,0.281,None,Low,Normal
EVT00169,2026-01-28 06:46:00,U1151,Umang Prashad,Engineering,Executive,Chennai,Database,Delete,886,968,19,0.136,None,Low,Normal
EVT00170,2026-04-08 17:18:00,U9261,Ati Buch,Operations,Developer,Hyderabad,Database,Delete,554,556,11,0.219,None,Low,Normal
EVT00171,2026-09-03 11:27:00,U5833,Ikbal Wali,Marketing,Manager,Hyderabad,Cloud Storage,Download,660,755,33,0.098,None,Low,Normal
EVT00172,2026-04-13 09:22:00,U8822,Kiaan Bala,Engineering,Manager,Bangalore,File,Download,102,117,16,0.134,None,Low,Normal
EVT00173,2026-01-09 07:51:00,U5285,Avni Sachdev,Legal,Developer,Pune,API,Read,328,357,8,0.14,None,Low,Normal
EVT00174,2026-08-15 10:44:00,U2923,Onkar Comar,Legal,Developer,Mumbai,API,Write,14440,722,100,0.74,Privilege Escalation,Critical,Threat
EVT00175,2026-12-09 20:19:00,U9806,Oviya Soman,IT Security,Manager,Hyderabad,Database,Download,607,640,34,0.211,None,Low,Normal
EVT00176,2026-02-14 23:18:00,U9972,Chandran Kadakia,Marketing,Manager,Chennai,API,Write,4179,597,80,0.956,Impossible Travel,High,Threat
EVT00177,2026-03-08 05:19:00,U9361,Janya Chacko,Operations,Analyst,Delhi,API,Download,779,754,30,0.169,None,Low,Normal
EVT00178,2026-01-16 20:27:00,U7487,Chandani Kakar,Engineering,Analyst,Pune,API,Read,794,708,3,0.127,None,Low,Normal
EVT00179,2026-02-20 06:11:00,U8734,Ojasvi Pingle,Finance,Developer,Delhi,API,Write,687,574,27,0.112,None,Low,Normal
EVT00180,2026-10-02 21:13:00,U7154,Darsh Chad,Finance,Executive,Hyderabad,File,Read,549,479,12,0.298,None,Low,Normal
EVT00181,2026-06-12 03:47:00,U1056,Kabir Kaul,IT Security,Analyst,Mumbai,Cloud Storage,Download,163,150,35,0.114,None,Low,Normal
EVT00182,2026-07-20 17:19:00,U4088,Utkarsh Nadig,Legal,Analyst,Bangalore,Cloud Storage,Read,460,491,16,0.062,None,Low,Normal
EVT00183,2026-02-05 10:40:00,U5009,Devika Kashyap,Legal,Analyst,Delhi,Cloud Storage,Write,972,54,87,0.765,Data Exfiltration,High,Threat
EVT00184,2026-08-21 05:14:00,U6253,Oeshi Chakrabarti,HR,Developer,Hyderabad,API,Download,282,316,20,0.083,None,Low,Normal
EVT00185,2026-05-08 12:40:00,U7999,Hemani Bora,Marketing,System Admin,Bangalore,File,Download,719,625,34,0.096,None,Low,Normal
EVT00186,2026-05-14 21:31:00,U9813,Dhruv Shukla,Operations,Manager,Hyderabad,File,Write,158,172,30,0.274,None,Low,Normal
EVT00187,2026-04-08 15:26:00,U7363,Tanvi Rajan,HR,Developer,Hyderabad,File,Read,456,446,29,0.254,None,Low,Normal
EVT00188,2026-02-07 12:40:00,U5398,Gunbir Datta,Operations,Executive,Chennai,Database,Read,7610,761,76,0.941,Privilege Escalation,Critical,Threat
